blanket_impl,288
blanket_impl_u16,288
break_in_strange_positions,768
conditional_compilation/run,288
continue_in_strange_positions,1344
dca/alias_lib,232
dca/alias_type_ascription,176
dca/alias_type_ascription_generic,176
dca/alias_unused,176
dca/allow_dead_code,176
dca/all_paths_return,272
dca/constant_decl_expr,288
dca/constant_struct,288
dca/constant_while,176
dca/contract/abi_fn_params,1440
dca/contract/superabi_contract_calls,1872
dca/contract/unused_struct_field,1216
dca/contract/unused_struct_field_array,1296
dca/contract/unused_struct_field_enum,1472
dca/contract/unused_struct_field_tuple,1216
dca/func_param,176
dca/generic_fn_trait_constraint,176
dca/impl_self,176
dca/impl_self_alias,176
dca/impl_self_alias2,176
dca/impl_trait_multiple,272
dca/impl_trait_single,272
dca/impl_unused_fn,296
dca/library/fn_params_free,24
dca/library/fn_params_impl,24
dca/library/fn_params_trait,24
dca/library/unused_priv_free_fn,24
dca/library/unused_pub_free_fn,24
dca/log_intrinsic,752
dca/log_stdlib,752
dca/multiple_enums_same_name,176
dca/multiple_fns_same_name,176
dca/reassignment_lhs,200
dca/revert,32
dca/struct_field_no_warning,296
dca/trait_method,176
dca/trait_method_lib,24
dca/trait_method_neq,368
dca/unused_enum,176
dca/unused_fields,272
dca/unused_free_fn,176
dca/unused_struct,176
dca/unused_trait,176
dca/unused_variable,176
dca/unused_variable_in_free_fn,176
empty_fields_in_storage_struct,31224
evm/evm_basic,176
forc/contract_dependencies/contract_a,1104
forc/contract_dependencies/contract_b,960
forc/contract_dependencies/contract_c,960
forc/dependency_package_field,272
forc/dependency_patching,272
forc/workspace_building,24
language/abort_control_flow_good,48
language/aliased_imports,328
language/arg_demotion_inline,1152
language/args_on_stack,1600
language/array_basics,800
language/array_generics,352
language/asm_expr_basic,416
language/asm_without_return,184
language/associated_const_abi,296
language/associated_const_abi_default,296
language/associated_const_abi_multiple,296
language/associated_const_impl,296
language/associated_const_impl_local_same_name,296
language/associated_const_impl_multiple,296
language/associated_const_impl_self,296
language/associated_const_impl_self_order,296
language/associated_const_trait,296
language/associated_const_trait_const,272
language/associated_const_trait_default,304
language/associated_const_trait_impl_method,296
language/associated_const_trait_method,296
language/associated_type_and_associated_const,296
language/associated_type_ascription,296
language/associated_type_container,1872
language/associated_type_container_in_library,1872
language/associated_type_fully_qualified,552
language/associated_type_iterator,1960
language/associated_type_method,296
language/associated_type_parameter,296
language/attributes_warnings,176
language/b256_bad_jumps,272
language/b256_bitwise_ops,6800
language/b256_ops,3792
language/basic_func_decl,272
language/basic_predicate,48
language/binary_and_hex_literals,272
language/binop_intrinsics,288
language/bitwise_not,272
language/blanket_trait,272
language/bool_and_or,328
language/break_and_continue,888
language/break_and_continue_block_ret,40
language/builtin_type_method_call,288
language/chained_if_let,400
language/complex_cfg,912
language/configurable_consts,13448
language/const_decl_and_use_in_library,288
language/const_decl_in_library,304
language/const_decl_literal,288
language/const_decl_with_call_path,488
language/const_inits,1832
language/contract_caller_as_ret,960
language/contract_caller_dynamic_address,1760
language/deprecated,24
language/diagnose_unknown_annotations,1480
language/diverging_exprs,1104
language/doc_comments,952
language/dummy_method_issue,448
language/empty_method_initializer,936
language/enum_destructuring,344
language/enum_if_let,728
language/enum_if_let_large_type,672
language/enum_in_fn_decl,368
language/enum_init_fn_call,544
language/enum_instantiation,3744
language/enum_padding,1560
language/enum_type_inference,288
language/enum_variant_imports,392
language/eq_and_neq,2008
language/eq_intrinsic,288
language/fallback_only,1672
language/far_jumps/many_blobs,11640520
language/far_jumps/single_blob,1048896
language/fix_opcode_bug,288
language/for_loops,4456
language/fqp_in_lib,296
language/funcs_with_generic_types,272
language/generic_functions,272
language/generic_impl_self,2688
language/generic_impl_self_where,2392
language/generic_inside_generic,376
language/generic_result_method,656
language/generics_in_contract,3608
language/generic_struct,288
language/generic_struct_instantiation,272
language/generic_structs,568
language/generic_trait_constraints,1064
language/generic_traits,1416
language/generic_transpose,864
language/generic_tuple_trait,808
language/generic_type_inference,3408
language/generic_where_in_impl_self2,464
language/generic_where_in_impl_self,464
language/gtf_intrinsic,624
language/if_elseif_enum,720
language/if_implicit_unit,176
language/if_let_no_side_effects,432
language/implicit_casting,288
language/implicit_return,288
language/impl_self_method,304
language/impl_self_method_order,304
language/import_method_from_other_file,656
language/import_star_name_clash,2544
language/import_trailing_comma,280
language/import_with_different_callpaths,2696
language/impure_ifs,1080
language/inline_if_expr_const,176
language/insert_element_reg_reuse,2464
language/integer_type_inference,1512
language/is_prime,1168
language/is_reference_type,272
language/largeint_sroa,776
language/left_to_right_func_args_evaluation,304
language/local_impl_for_ord,272
language/logging,3344
language/main_args/main_args_empty,288
language/main_args/main_args_generics,968
language/main_args/main_args_one_u64,288
language/main_args/main_args_ref,296
language/main_args/main_args_ref_copy,432
language/main_args/main_args_ref_ref,464
language/main_args/main_args_two_u64,416
language/main_args/main_args_various_types,2352
language/main_returns_unit,176
language/many_stack_variables,936
language/match_expressions,872
language/match_expressions_constants,424
language/match_expressions_empty_enums,288
language/match_expressions_enums,3488
language/match_expressions_explicit_rets,272
language/match_expressions_inside_generic_functions,488
language/match_expressions_mismatched,344
language/match_expressions_nested,1744
language/match_expressions_or,9528
language/match_expressions_rest,1768
language/match_expressions_simple,400
